Parcela,Codi,Bloque,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
1129,188,3,100,20230918,18/9/2023,"0,027","0,001","0,056","0,005","0,100","0,006","0,103","0,011","0,174","0,009","0,280","0,017","0,341","0,021","0,400","0,037","0,356","0,015","0,589","0,046"
1129,188,3,200,20230711,11/7/2023,"0,022","0,000","0,038","0,002","0,070","0,005","0,052","0,003","0,094","0,004","0,204","0,012","0,264","0,008","0,266","0,036","0,262","0,005","0,674","0,041"
1129,188,3,200,20230718,18/7/2023,"0,010","0,004","0,030","0,003","0,061","0,005","0,038","0,003","0,087","0,006","0,216","0,017","0,307","0,020","0,293","0,035","0,308","0,018","0,768","0,029"
1129,188,3,200,20230808,8/8/2023,"0,024","0,002","0,020","0,004","0,057","0,010","0,024","0,004","0,099","0,001","0,318","0,050","0,407","0,050","0,432","0,065","0,432","0,050","0,894","0,022"
1129,188,3,200,20230825,25/8/2023,"0,038","0,005","0,044","0,012","0,093","0,019","0,048","0,007","0,120","0,007","0,307","0,034","0,392","0,043","0,411","0,052","0,387","0,032","0,791","0,037"
1129,188,3,200,20230907,7/9/2023,"0,046","0,000","0,048","0,005","0,091","0,007","0,068","0,007","0,155","0,009","0,290","0,008","0,346","0,009","0,349","0,010","0,416","0,013","0,674","0,028"
1129,188,3,200,20230918,18/9/2023,"0,026","0,001","0,056","0,005","0,102","0,008","0,103","0,010","0,176","0,010","0,285","0,021","0,342","0,025","0,403","0,044","0,358","0,017","0,593","0,048"
131,189,1,100,20230711,11/7/2023,"0,022","0,000","0,036","0,001","0,068","0,003","0,047","0,001","0,091","0,002","0,209","0,008","0,270","0,007","0,295","0,030","0,264","0,004","0,725","0,025"
131,189,1,100,20230718,18/7/2023,"0,010","0,003","0,029","0,003","0,061","0,004","0,033","0,002","0,084","0,004","0,229","0,009","0,331","0,013","0,337","0,023","0,330","0,010","0,822","0,014"
131,189,1,100,20230808,8/8/2023,"0,025","0,001","0,022","0,002","0,062","0,006","0,028","0,002","0,099","0,001","0,339","0,029","0,427","0,029","0,454","0,039","0,446","0,030","0,882","0,013"
131,189,1,100,20230825,25/8/2023,"0,038","0,004","0,054","0,014","0,106","0,024","0,073","0,018","0,128","0,011","0,277","0,032","0,331","0,036","0,333","0,045","0,333","0,029","0,640","0,083"
131,189,1,100,20230907,7/9/2023,"0,046","0,001","0,058","0,019","0,101","0,029","0,100","0,035","0,172","0,036","0,272","0,029","0,315","0,026","0,318","0,029","0,367","0,044","0,522","0,131"
131,189,1,100,20230918,18/9/2023,"0,026","0,001","0,061","0,007","0,102","0,007","0,125","0,015","0,177","0,010","0,243","0,016","0,279","0,022","0,289","0,036","0,310","0,014","0,396","0,072"
